,,,,,,,,,
,,,,,,,1x3Y,,100 RPM
,,R = 11 Ohm,,,,,,,
,,,,,,,,,
,,uF,mW,mW,,,,,
,,C,Po,Pi,,,,,
,1,330,"17,2212","50,7094",,,,,
,2,430,"19,1567","54,3784",,,,,
,3,530,"19,7061","54,705",,,,,
,4,630,"20,0332","54,9546",,,,,
,5,730,"19,94","55,4711",,,,,
,6,830,"19,224","54,4002",,,,,
,7,,,,,,,,
,8,,,,,,,,
,9,,,,,,,,
,10,,,,,,,,
,11,,,,,,,,
,12,,,,,,,,
,13,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,C = 630 uF,,,,,,,
,,Ohm,mW,mW,,,,,
,,R,Po,Pi,,,,,
,1,9,"19,1471","57,4484",,,,,
,2,10,"19,9766","55,9309",,,,,
,3,11,"20,2145","54,9884",,,,,
,4,12,"20,5559","54,8756",,,,,
,5,13,"20,8845","53,9007",,,,,
,6,14,"21,1113","53,0564",,,,,
,7,15,"21,1838","52,0283",,,,,
,8,16,"21,2436","50,3798",,,,,
,9,17,"20,9339","49,4933",,,,,
,10,18,"20,7692","48,4282",,,,,
,11,19,"20,2796","47,1675",,,,,
,12,20,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,From Simulations,,,,,,,,
,RL,6,Ohm,,,,,,
100rpm,CL,360,uF,,,,,,
