,,,,,,,,,
,,,,,,,NVC3,,100 RPM
,,R = 20 Ohm,,,,,,,
,,,,,,,,,
,,uF,mW,mW,,,,,
,,C,Po,Pi,,,,,
,1,100,"17,6321","27,5764",,,,,
,2,200,"17,6306","27,5297",,,,,
,3,330,"17,9221","27,7423",,,,,
,4,430,"17,964","27,3399",,,,,
,5,530,"17,8153","27,4494",,,,,
,6,630,"17,7979","27,4269",,,,,
,7,730,"17,7662","27,4202",,,,,
,8,830,"17,7182","27,0349",,,,,
,9,,,,,,,,
,10,,,,,,,,
,11,,,,,,,,
,12,,,,,,,,
,13,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,C = 430 uF,,,,,,,
,,Ohm,mW,mW,,,,,
,,R,Po,Pi,,,,,
,1,18,"17,0715","27,4533",,,,,
,2,19,"17,1813","27,1132",,,,,
,3,20,"17,2914","26,8714",,,,,
,4,21,"17,3003","26,71",,,,,
,5,22,"17,2801","26,4043",,,,,
,6,23,"17,283","26,1674",,,,,
,7,24,"17,1649","25,8166",,,,,
,8,25,"17,1129","25,5194",,,,,
,9,26,"16,9855","24,5946",,,,,
,10,27,"17,0164","24,9378",,,,,
,11,28,"16,9483","24,68",,,,,
,12,29,"16,8362","24,3438",,,,,
,13,30,"16,5269","23,5175",,,,,
