FWR D1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 ,,R = 7 Ohm,CL = 630 uF,,CL = 530 uF,,"CL = 430 uF	",,CL = 330 uF,,CL = 200 uF        ,,CL = 100 uF,,CL = 47 uF,
,,uF,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW
,,rpm,Po,Pi,Po,Pi,Po,Pi,Po,Pi,Po,Pi,Po,Pi,Po,Pi
,1,100,"91,667","304,663","88,954","302,898","86,351","298,840","74,488","283,238","75,617","284,401","68,668","268,230","32,563","178,836"
,2,150,"257,219","675,577","258,497","680,334","254,876","673,164","235,105","666,665","239,059","670,889","220,965","651,127","141,412","515,022"
,3,200,"489,275","1,147,796","49,817","1,164,546","498,813","1,162,493","481,632","1,174,423","488,176","1,179,993","453,682","1,151,993","343,338","1,018,275"
,4,250,"772,779","1,689,727","787,392","1,717,360","792,395","1,726,369","789,868","1,769,545","795,289","177,323","754,696","1,741,705","620,218","1,630,936"
,5,300,"1,086,476","2,265,109","1,107,738","2,307,719","1,115,551","2,323,381","1,118,834","2,384,461","1,125,849","2,388,493","1,095,556","2,375,051","961,865","2,312,352"
,6,350,"1,417,903","3,030,766","1,448,029","2,918,428","1,459,227","2,940,870","1,482,964","3,041,702","1,488,366","3,042,955","1,486,717","3,074,789","1,437,692","3,174,509"
,7,400,"1,755,127","3,453,323","1,792,966","3,526,494","1,808,817","3,555,464","1,847,460","3,682,569","1,854,898","3,689,518","1,879,349","3,768,670","2,013,089","4,159,651"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,R = inf,CL = 630 uF,,,CL = 47 uF,,,,,,,,,,
,,,V,V,V,V,V,V,,,,,,,,
,,rpm,Vo,HF ripple,LF ripple,Vo,HF ripple,LF ripple,,,,,,,,
,,100,,,,"0,975","0,012",,,,,,,,,
,,150,,,,,,,da rifare,,,,,,,
,,200,,,,"1,87","0,011",,,,,,,,,
,,250,,,,"2,3","0,012",,,,,,,,,
,,300,,,,"2,755","0,012",,,,,,,,,
,,350,,,,"3,24","0,012",,,,,,,,,
,,400,,,,"3,73","0,013",,,,,,,,,
