,,,,,,,FWR D2,,100 RPM
,,R = 5 Ohm,,,,,,,
,,,,,,,,,
,,uF,mW,mW,,,,,
,,C,Po,Pi,,,,,
,1,330,"65,889","313,694",,,,,
,2,430,"67,332","316,066",,,,,
,3,530,"75,288","334,677",,,,,
,4,630,"79,707","338,943",,,,,
,5,730,"79,560","338,769",,,,,
,6,830,"78,039","330,931",,,,,
,7,,,,,,,,
,8,,,,,,,,
,9,,,,,,,,
,10,,,,,,,,
,11,,,,,,,,
,12,,,,,,,,
,13,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,C = 630 uF,,,,,,,
,,Ohm,mW,mW,,,,,
,,R,Po,Pi,,,,,
,1,3,"71,084","377,841",,,,,
,2,4,"76,492","35,041",,,,,
,3,5,"77,653","336,935",,,,,
,4,6,"78,513","317,717",,,,,
,5,7,"79,668","303,277",,,,,
,6,8,"79,470","287,889",,,,,
,7,9,"75,950","271,843",,,,,
,8,10,"74,075","259,005",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,From Simulations,,,,,,,,
,RL,6,Ohm,,,,,,
100rpm,CL,360,uF,,,,,,
